id;code;name;account_type;reconcile
fcp_111001;111001;Compte Espèces;asset_cash;FAUX
fcp_121001;121001;Compte Courant;asset_cash;FAUX
fcp_141710;141710;Intérêts courus / Placements monétaires;asset_current;FAUX
fcp_141712;141712;Intérêts courus / Bon Trésor;asset_current;FAUX
fcp_141714;141714;Intérêts courus des comptes courants;asset_current;FAUX
fcp_217100;217100;Intérêts courus sur Obligations;asset_current;FAUX
fcp_217300;217300;Différence d'estimation ACTIONS;asset_current;FAUX
fcp_217400;217400;Différence d'estimation OBLIGATIONS;asset_current;FAUX
fcp_217500;217500;Différence d'estimation OPCVM;asset_current;FAUX
fcp_240001;240001;Obligation à recevoir;asset_current;FAUX
fcp_240002;240002;Bon à recevoir;asset_current;FAUX
fcp_240003;240003;Action à recevoir;asset_current;FAUX
fcp_240004;240004;OPCVM à recevoir;asset_current;FAUX
fcp_351000;351000;Impôt sur les bénéfices;liability_current;FAUX
fcp_353100;353100;Etat, TVA facturée sur prestation de services;liability_payable;VRAI
fcp_353200;353200;Etat, TVA facturée sur commissions;liability_payable;VRAI
fcp_353500;353500;Etat, TVA facturée sur factures à établir;liability_payable;VRAI
fcp_355200;355200;Etat, TVA récupérable sur achats;asset_receivable;VRAI
fcp_355400;355400;Etat, TVA récupérable sur services extérieurs et autres charges;asset_receivable;VRAI
fcp_355500;355500;Etat, TVA récupérable sur factures non parvenues;asset_receivable;VRAI
fcp_371200;371200;Clients, compte espèces;asset_receivable;VRAI
fcp_389002;389002;Actions, Obligations à payer;liability_payable;VRAI
fcp_389003;389003;Vente / titres à encaisser;asset_receivable;VRAI
fcp_389006;389006;Dividendes à payer;liability_payable;VRAI
fcp_389007;389007;Revenus / Actions à encaisser;asset_receivable;VRAI
fcp_389008;389008;Coupons à recevoir Obligations;asset_receivable;VRAI
fcp_389100;389100;Conservateurs, Droits de Garde;liability_current;FAUX
fcp_389101;389101;TOB-SGI;liability_current;FAUX
fcp_389200;389200;Créditeur CREPMF, Cpte de Redevance;liability_payable;VRAI
fcp_389201;389201;TOB-AVT;liability_current;FAUX
fcp_389300;389300;Commission actif sous-gestion;liability_current;FAUX
fcp_389400;389400;Créditeurs, Frais de Gestion;liability_payable;VRAI
fcp_389401;389401;TOB-SGO;liability_current;FAUX
fcp_389500;389500;Créditeurs, CREPMF, Frais d'agrément;liability_payable;VRAI
fcp_389501;389501;Créditeurs, CREPMF, Frais de publication d'information;liability_payable;VRAI
fcp_389700;389700;Honoraires CAC;liability_current;FAUX
fcp_389800;389800;Rompus souscriptions clients;asset_receivable;VRAI
fcp_389900;389900;Droits d'entrée / sortie Sortie Acquis à la SGO;liability_current;FAUX
fcp_389901;389901;TOB-DES;liability_current;FAUX
fcp_389902;389902;Associés apports en numéraire + Autres clients;asset_receivable;VRAI
fcp_389903;389903;Débiteurs divers;asset_receivable;VRAI
fcp_389904;389904;Créditeurs divers;liability_payable;VRAI
fcp_389905;389905;Créditeurs divers BOA-AM;liability_payable;VRAI
fcp_389908;389908;BOA CI Dépositaire;liability_current;FAUX
fcp_389909;389909;Compte d attente BOA BENIN;liability_current;FAUX
fcp_389910;389910;BOA-CI, Concervateur marché;liability_current;FAUX
fcp_389911;389911;Créditeur  BOA BN;liability_payable;VRAI
fcp_389912;389912;Créditeurs Garants de liquidité;liability_payable;VRAI
fcp_389915;389915;Droit d'attribution exceptionnel;liability_current;FAUX
fcp_389950;389950;Compte de liaisson Dépositaire;liability_current;FAUX
fcp_389951;389951;Droits de sortie acquis à la SGO;liability_current;FAUX
fcp_389952;389952;Droits d'entrée acquis à la SGO;liability_current;FAUX
fcp_551120;551120;Réguls lot et primes;equity;FAUX
fcp_551801;551801;Plus values sur obligations;equity;FAUX
fcp_551802;551802;Moins values sur obligations;equity;FAUX
fcp_551803;551803;Plus values sur actions;equity;FAUX
fcp_551804;551804;Moins values sur actions;equity;FAUX
fcp_553100;553100;Différence d'estimation portefeuille;equity;FAUX
fcp_553200;553200;Frais sur titres (achat, vente, garde);equity;FAUX
fcp_553300;553300;Droits d'entrée / sortie Sortie Acquis au fond;equity;FAUX
