id,code,name,account_type,chart_template_id:id,reconcile,tag_ids:id
ci_fcp_101000,101000,Capital social,equity,ci_fcp_chart_template,False,
ci_fcp_105000,105000,Réserves,equity,ci_fcp_chart_template,False,
ci_fcp_110000,110000,Report à nouveau,equity,ci_fcp_chart_template,False,
ci_fcp_120000,120000,Résultat de l'exercice,equity,ci_fcp_chart_template,False,
ci_fcp_130000,130000,Résultat net en instance d'affectation,equity,ci_fcp_chart_template,False,
ci_fcp_210000,210000,Immobilisations incorporelles,asset_non_current,ci_fcp_chart_template,False,
ci_fcp_240000,240000,Immobilisations financières,asset_non_current,ci_fcp_chart_template,False,
ci_fcp_280000,280000,Amortissements des immobilisations,asset_non_current,ci_fcp_chart_template,False,
ci_fcp_301000,301000,Actions et parts OPCVM,asset_current,ci_fcp_chart_template,False,
ci_fcp_302000,302000,Obligations et titres assimilés,asset_current,ci_fcp_chart_template,False,
ci_fcp_303000,303000,Titres de créances négociables,asset_current,ci_fcp_chart_template,False,
ci_fcp_304000,304000,Actions cotées,asset_current,ci_fcp_chart_template,False,
ci_fcp_305000,305000,Actions non cotées,asset_current,ci_fcp_chart_template,False,
ci_fcp_390000,390000,Provisions sur titres,asset_current,ci_fcp_chart_template,False,
ci_fcp_401000,401000,Fournisseurs,liability_current,ci_fcp_chart_template,True,
ci_fcp_411000,411000,Clients,asset_receivable,ci_fcp_chart_template,True,
ci_fcp_421000,421000,Personnel - Rémunérations dues,liability_current,ci_fcp_chart_template,False,
ci_fcp_431000,431000,Sécurité sociale,liability_current,ci_fcp_chart_template,False,
ci_fcp_443100,443100,État - TVA collectée,liability_current,ci_fcp_chart_template,False,
ci_fcp_445100,445100,État - TVA déductible,asset_current,ci_fcp_chart_template,False,
ci_fcp_447100,447100,État - AIB,liability_current,ci_fcp_chart_template,False,
ci_fcp_447200,447200,État - TPS,liability_current,ci_fcp_chart_template,False,
ci_fcp_447300,447300,État - IRVM,liability_current,ci_fcp_chart_template,False,
ci_fcp_451000,451000,Groupe et associés,liability_current,ci_fcp_chart_template,False,
ci_fcp_455000,455000,Associés - Dividendes à payer,liability_current,ci_fcp_chart_template,False,
ci_fcp_465000,465000,Créditeurs divers,liability_current,ci_fcp_chart_template,True,
ci_fcp_467000,467000,Débiteurs divers,asset_current,ci_fcp_chart_template,True,
ci_fcp_470000,470000,Comptes transitoires ou d'attente,asset_current,ci_fcp_chart_template,False,
ci_fcp_475000,475000,Produits constatés d'avance,liability_current,ci_fcp_chart_template,False,
ci_fcp_476000,476000,Charges constatées d'avance,asset_current,ci_fcp_chart_template,False,
ci_fcp_521000,521000,Banques - Comptes courants,asset_current,ci_fcp_chart_template,True,
ci_fcp_531000,531000,Chèques postaux,asset_current,ci_fcp_chart_template,True,
ci_fcp_571000,571000,Caisse,asset_current,ci_fcp_chart_template,False,
ci_fcp_580000,580000,Virements internes,asset_current,ci_fcp_chart_template,True,
ci_fcp_601000,601000,Achats de marchandises,expense,ci_fcp_chart_template,False,
ci_fcp_605000,605000,Autres achats,expense,ci_fcp_chart_template,False,
ci_fcp_621000,621000,Sous-traitance générale,expense,ci_fcp_chart_template,False,
ci_fcp_622000,622000,Locations et charges locatives,expense,ci_fcp_chart_template,False,
ci_fcp_623000,623000,Publicité et relations publiques,expense,ci_fcp_chart_template,False,
ci_fcp_624000,624000,Transports et déplacements,expense,ci_fcp_chart_template,False,
ci_fcp_625000,625000,Frais de mission,expense,ci_fcp_chart_template,False,
ci_fcp_626000,626000,Frais postaux et télécommunications,expense,ci_fcp_chart_template,False,
ci_fcp_627000,627000,Services bancaires,expense,ci_fcp_chart_template,False,
ci_fcp_628000,628000,Frais de gestion,expense,ci_fcp_chart_template,False,
ci_fcp_631000,631000,Impôts et taxes directs,expense,ci_fcp_chart_template,False,
ci_fcp_641000,641000,Rémunérations du personnel,expense,ci_fcp_chart_template,False,
ci_fcp_645000,645000,Charges sociales,expense,ci_fcp_chart_template,False,
ci_fcp_651000,651000,Pertes sur créances clients,expense,ci_fcp_chart_template,False,
ci_fcp_658000,658000,Charges diverses de gestion courante,expense,ci_fcp_chart_template,False,
ci_fcp_661000,661000,Charges d'intérêts,expense,ci_fcp_chart_template,False,
ci_fcp_671000,671000,Charges exceptionnelles sur opérations de gestion,expense,ci_fcp_chart_template,False,
ci_fcp_681000,681000,Dotations aux amortissements,expense,ci_fcp_chart_template,False,
ci_fcp_691000,691000,Provisions,expense,ci_fcp_chart_template,False,
ci_fcp_701000,701000,Ventes de produits finis,income,ci_fcp_chart_template,False,
ci_fcp_706000,706000,Prestations de services,income,ci_fcp_chart_template,False,
ci_fcp_707000,707000,Produits accessoires,income,ci_fcp_chart_template,False,
ci_fcp_721000,721000,Production immobilisée,income,ci_fcp_chart_template,False,
ci_fcp_751000,751000,Revenus sur titres - Dividendes,income,ci_fcp_chart_template,False,
ci_fcp_752000,752000,Revenus sur titres - Intérêts,income,ci_fcp_chart_template,False,
ci_fcp_753000,753000,Revenus sur créances,income,ci_fcp_chart_template,False,
ci_fcp_754000,754000,Produits des cessions de titres,income,ci_fcp_chart_template,False,
ci_fcp_758000,758000,Produits divers de gestion financière,income,ci_fcp_chart_template,False,
ci_fcp_761000,761000,Plus-values sur cessions d'immobilisations,income,ci_fcp_chart_template,False,
