Compte,Libellé,Type de compte,reconcile
111001,Compte Espèces,asset_cash,False
121001,Compte Courant,asset_cash,False
141710,Intérêts courus / Placements monétaires,asset_current,False
141712,Intérêts courus / Bon Trésor,asset_current,False
141714,Intérêts courus des comptes courants,asset_current,False
217100,Intérêts courus sur Obligations,asset_current,False
217300,Différence d'estimation ACTIONS,asset_current,False
217400,Différence d'estimation OBLIGATIONS,asset_current,False
217500,Différence d'estimation OPCVM,asset_current,False
240001,Obligation à recevoir,asset_current,False
240002,Bon à recevoir,asset_current,False
240003,Action à recevoir,asset_current,False
240004,OPCVM à recevoir,asset_current,False
351000,Impôt sur les bénéfices,liability_current,False
353100,"Etat, TVA facturée sur prestation de services",liability_payable,True
353200,"Etat, TVA facturée sur commissions",liability_payable,True
353500,"Etat, TVA facturée sur factures à établir",liability_payable,True
355200,"Etat, TVA récupérable sur achats",asset_receivable,True
355400,"Etat, TVA récupérable sur services extérieurs et autres charges",asset_receivable,True
355500,"Etat, TVA récupérable sur factures non parvenues",asset_receivable,True
371200,"Clients, compte espèces",asset_receivable,True
389002,"Actions, Obligations à payer",liability_payable,True
389003,Vente / titres à encaisser,asset_receivable,True
389006,Dividendes à payer,liability_payable,True
389007,Revenus / Actions à encaisser,asset_receivable,True
389008,Coupons à recevoir Obligations,asset_receivable,True
389100,"Conservateurs, Droits de Garde",liability_current,False
389101,TOB-SGI,liability_current,False
389200,"Créditeur CREPMF, Cpte de Redevance",liability_payable,True
389201,TOB-AVT,liability_current,False
389300,Commission actif sous-gestion,liability_current,False
389400,"Créditeurs, Frais de Gestion",liability_payable,True
389401,TOB-SGO,liability_current,False
389500,"Créditeurs, CREPMF, Frais d'agrément",liability_payable,True
389501,"Créditeurs, CREPMF, Frais de publication d'information",liability_payable,True
389700,Honoraires CAC,liability_current,False
389800,Rompus souscriptions clients,asset_receivable,True
389900,Droits d'entrée / sortie Sortie Acquis à la SGO,liability_current,False
389901,TOB-DES,liability_current,False
389902,Associés apports en numéraire + Autres clients,asset_receivable,True
389903,Débiteurs divers,asset_receivable,True
389904,Créditeurs divers,liability_payable,True
389905,Créditeurs divers BOA-AM,liability_payable,True
389908,BOA CI Dépositaire,liability_current,False
389909,Compte d attente BOA BENIN,liability_current,False
389910,"BOA-CI, Concervateur marché",liability_current,False
389911,Créditeur  BOA BN,liability_payable,True
389912,Créditeurs Garants de liquidité,liability_payable,True
389915,Droit d'attribution exceptionnel,liability_current,False
389950,Compte de liaisson Dépositaire,liability_current,False
389951,Droits de sortie acquis à la SGO,liability_current,False
389952,Droits d'entrée acquis à la SGO,liability_current,False
551120,Réguls lot et primes,equity,False
551801,Plus values sur obligations,equity,False
551802,Moins values sur obligations,equity,False
551803,Plus values sur actions,equity,False
551804,Moins values sur actions,equity,False
553100,Différence d'estimation portefeuille,equity,False
553200,"Frais sur titres (achat, vente, garde)",equity,False
553300,Droits d'entrée / sortie Sortie Acquis au fond,equity,False
553400,Droits d'entrée acquis au FCP,equity,False
553401,Droits de sortie acquis au FCP,equity,False
571000,Capital,equity,False
571001,REGUL SUR LE CAPITAL,equity,False
571002,Droit d'entrée/sortie,equity,False
572100,Souscriptions exercice,equity,False
572200,Rachats exercice,equity,False
581100,Report à nouveau créditeur,equity,False
581200,Réport à nouveau débiteur,equity,False
581300,Réguls résultat antérieur incorporé à la VL,equity,False
591100,Résultat à affecter,equity,False
591110,Régul résultat de l'exercice clos,equity,False
603100,Frais de gestion,expense,False
603200,Droit de garde ,expense,False
603800,Autres frais de gestion,expense,False
615100,Frais bancaires,expense,False
615180,Autres frais bancaires,expense,False
615210,Redevances CREPMF,expense,False
615220,Honoraires CAC,expense,False
615230,Commissions sur l'actif net,expense,False
615310,Autres frais,expense,False
615311,Frais d'engagement liquidité,expense,False
690000,Impôt sur les bénéfices,expense,False
710100,Revenus des ACTIONS,income,False
710200,Revenus des OBLIGATIONS,income,False
710300,Revenus des BONS,income,False
710400,Autres Produits,income,False
710500,Revenus des autres valeurs,income,False
710600,Revenus des OPCVM,income,False
727110,Intérêts courus sur obligations,income,False
727111,Intérêts courus sur transaction,income,False
727120,Intérêts courus sur DAT,income,False
727130,Intérêts courus sur BTC,income,False
727200,Intérêts des Comptes courants,income,False
727400,Revenus de titres de placement,income,False
731100,Revenus sur DAT et autres Placements ,income,False
770000,Régul résultat exercice en cours,income,False
922110,Obligation à recevoir du DC/BR,asset_current,False
922120,Bon à recevoir du DC/BR,asset_current,False
922130,Action à recevoir du DC/BR,asset_current,False
922140,OPCVM à recevoir du DC/BR,asset_current,False
940001,Souscription / Rachat,asset_current,False
950001,Stock titre obligation,asset_current,False
950002,Stock titre bon,asset_current,False
950003,Stock titre action,asset_current,False
950004,Stock titre OPCVM,asset_current,False
960001,Stock part,asset_current,False
